winner,condition,turn,current_player,vp_marquise,vp_eyrie,winning_dominance
MARQUISE,dominance,20,MARQUISE,13,6,bird
MARQUISE,dominance,40,MARQUISE,12,0,rabbit
MARQUISE,dominance,40,MARQUISE,17,2,mouse
MARQUISE,dominance,22,MARQUISE,15,3,bird
EYRIE,dominance,153,EYRIE,18,0,mouse
EYRIE,dominance,49,EYRIE,10,0,rabbit
MARQUISE,dominance,54,MARQUISE,10,0,fox
MARQUISE,dominance,24,MARQUISE,14,3,fox
MARQUISE,dominance,30,MARQUISE,16,5,fox
MARQUISE,dominance,90,MARQUISE,11,0,bird
MARQUISE,dominance,42,MARQUISE,11,0,bird
MARQUISE,dominance,40,MARQUISE,27,0,mouse
MARQUISE,dominance,34,MARQUISE,22,0,rabbit
MARQUISE,dominance,14,MARQUISE,10,1,mouse
EYRIE,dominance,373,EYRIE,16,0,mouse
MARQUISE,dominance,46,MARQUISE,10,0,mouse
MARQUISE,dominance,12,MARQUISE,10,4,fox
MARQUISE,dominance,24,MARQUISE,20,2,fox
EYRIE,dominance,93,EYRIE,12,0,fox
EYRIE,dominance,23,EYRIE,12,10,rabbit
MARQUISE,dominance,42,MARQUISE,12,0,fox
MARQUISE,dominance,28,MARQUISE,18,3,fox
MARQUISE,dominance,22,MARQUISE,16,5,mouse
MARQUISE,dominance,26,MARQUISE,18,3,fox
EYRIE,dominance,105,EYRIE,11,0,fox
EYRIE,dominance,125,EYRIE,17,0,mouse
MARQUISE,dominance,24,MARQUISE,16,1,fox
EYRIE,dominance,27,EYRIE,18,4,bird
MARQUISE,dominance,50,MARQUISE,10,26,bird
EYRIE,dominance,41,EYRIE,22,0,fox
MARQUISE,dominance,24,MARQUISE,13,3,fox
MARQUISE,vp,18,MARQUISE,33,13,none
MARQUISE,dominance,62,MARQUISE,13,3,mouse
MARQUISE,dominance,22,MARQUISE,10,2,fox
MARQUISE,dominance,24,MARQUISE,11,9,fox
MARQUISE,dominance,44,MARQUISE,13,0,mouse
EYRIE,dominance,27,EYRIE,11,4,bird
EYRIE,dominance,83,EYRIE,10,0,bird
EYRIE,dominance,117,EYRIE,23,0,fox
EYRIE,dominance,25,EYRIE,12,8,bird
MARQUISE,dominance,18,MARQUISE,13,6,bird
MARQUISE,dominance,16,MARQUISE,11,1,bird
EYRIE,vp,41,MARQUISE,14,33,none
MARQUISE,dominance,36,MARQUISE,15,12,mouse
MARQUISE,dominance,34,MARQUISE,11,10,fox
EYRIE,vp,41,MARQUISE,15,31,none
MARQUISE,dominance,16,MARQUISE,13,0,rabbit
MARQUISE,dominance,58,MARQUISE,11,21,bird
EYRIE,dominance,109,EYRIE,11,0,mouse
MARQUISE,dominance,72,MARQUISE,13,0,rabbit
MARQUISE,dominance,36,MARQUISE,10,0,bird
MARQUISE,dominance,26,MARQUISE,10,6,fox
EYRIE,dominance,53,EYRIE,10,0,mouse
MARQUISE,dominance,62,MARQUISE,15,0,mouse
MARQUISE,dominance,18,MARQUISE,10,5,mouse
EYRIE,dominance,23,EYRIE,10,9,fox
MARQUISE,dominance,66,MARQUISE,13,0,mouse
MARQUISE,dominance,16,MARQUISE,14,0,fox
EYRIE,dominance,23,EYRIE,11,8,rabbit
MARQUISE,dominance,32,MARQUISE,10,7,mouse
MARQUISE,dominance,18,MARQUISE,15,2,mouse
MARQUISE,dominance,74,MARQUISE,11,0,mouse
MARQUISE,dominance,16,MARQUISE,13,1,fox
EYRIE,vp,29,MARQUISE,10,30,none
MARQUISE,dominance,24,MARQUISE,11,4,rabbit
MARQUISE,dominance,28,MARQUISE,11,6,fox
MARQUISE,dominance,50,MARQUISE,10,0,mouse
EYRIE,dominance,47,EYRIE,11,0,rabbit
MARQUISE,dominance,14,MARQUISE,10,6,fox
MARQUISE,dominance,38,MARQUISE,12,14,bird
MARQUISE,dominance,30,MARQUISE,13,0,fox
MARQUISE,dominance,26,MARQUISE,25,4,mouse
MARQUISE,dominance,46,MARQUISE,10,0,fox
EYRIE,dominance,29,EYRIE,11,19,mouse
MARQUISE,dominance,18,MARQUISE,13,4,mouse
MARQUISE,dominance,42,MARQUISE,27,4,mouse
MARQUISE,dominance,34,MARQUISE,21,4,rabbit
MARQUISE,dominance,222,MARQUISE,12,0,rabbit
MARQUISE,dominance,18,MARQUISE,13,4,mouse
EYRIE,dominance,33,EYRIE,12,28,mouse
EYRIE,dominance,101,EYRIE,12,0,bird
EYRIE,dominance,149,EYRIE,20,0,bird
EYRIE,dominance,23,EYRIE,10,20,rabbit
MARQUISE,dominance,30,MARQUISE,24,2,bird
EYRIE,dominance,63,EYRIE,14,0,bird
MARQUISE,dominance,14,MARQUISE,10,1,mouse
EYRIE,dominance,129,EYRIE,10,0,mouse
MARQUISE,dominance,24,MARQUISE,14,7,fox
MARQUISE,dominance,28,MARQUISE,17,10,bird
EYRIE,vp,21,MARQUISE,14,32,none
MARQUISE,dominance,102,MARQUISE,14,0,bird
MARQUISE,dominance,30,MARQUISE,21,20,mouse
MARQUISE,dominance,16,MARQUISE,13,8,rabbit
MARQUISE,dominance,118,MARQUISE,14,0,fox
MARQUISE,dominance,188,MARQUISE,11,0,bird
EYRIE,dominance,39,EYRIE,14,4,rabbit
MARQUISE,dominance,44,MARQUISE,10,0,mouse
MARQUISE,dominance,32,MARQUISE,10,7,fox
MARQUISE,dominance,34,MARQUISE,13,2,mouse
MARQUISE,dominance,30,MARQUISE,10,10,fox
MARQUISE,dominance,32,MARQUISE,21,12,rabbit
MARQUISE,dominance,22,MARQUISE,17,12,fox
EYRIE,dominance,45,EYRIE,21,0,rabbit
EYRIE,dominance,35,EYRIE,13,11,fox
MARQUISE,dominance,122,MARQUISE,16,0,rabbit
MARQUISE,dominance,20,MARQUISE,20,0,mouse
EYRIE,dominance,19,EYRIE,5,12,mouse
MARQUISE,dominance,28,MARQUISE,13,1,bird
MARQUISE,dominance,46,MARQUISE,19,0,fox
MARQUISE,dominance,28,MARQUISE,11,12,fox
MARQUISE,dominance,32,MARQUISE,18,5,rabbit
EYRIE,dominance,157,EYRIE,20,0,fox
MARQUISE,dominance,92,MARQUISE,12,0,bird
MARQUISE,dominance,36,MARQUISE,10,8,fox
MARQUISE,dominance,12,MARQUISE,10,2,rabbit
MARQUISE,dominance,28,MARQUISE,19,11,rabbit
EYRIE,dominance,23,EYRIE,16,8,mouse
EYRIE,dominance,141,EYRIE,10,0,mouse
EYRIE,dominance,137,EYRIE,10,0,fox
MARQUISE,dominance,48,MARQUISE,12,8,bird
MARQUISE,dominance,46,MARQUISE,16,0,fox
MARQUISE,dominance,50,MARQUISE,12,0,fox
MARQUISE,dominance,94,MARQUISE,21,0,rabbit
EYRIE,vp,27,MARQUISE,17,33,none
MARQUISE,dominance,116,MARQUISE,21,0,rabbit
EYRIE,dominance,55,EYRIE,11,0,bird
MARQUISE,dominance,52,MARQUISE,11,6,mouse
EYRIE,dominance,161,EYRIE,15,0,mouse
MARQUISE,dominance,34,MARQUISE,21,1,bird
MARQUISE,dominance,18,MARQUISE,13,1,mouse
EYRIE,dominance,19,EYRIE,8,8,rabbit
EYRIE,vp,23,MARQUISE,10,30,none
MARQUISE,dominance,48,MARQUISE,11,6,fox
MARQUISE,dominance,42,MARQUISE,10,0,mouse
MARQUISE,dominance,18,MARQUISE,11,3,rabbit
MARQUISE,dominance,22,MARQUISE,16,1,rabbit
EYRIE,vp,45,MARQUISE,11,30,none
MARQUISE,dominance,64,MARQUISE,15,0,rabbit
MARQUISE,dominance,22,MARQUISE,10,6,mouse
MARQUISE,dominance,24,MARQUISE,11,8,fox
MARQUISE,dominance,20,MARQUISE,17,4,mouse
EYRIE,dominance,65,EYRIE,16,0,bird
MARQUISE,dominance,96,MARQUISE,16,0,rabbit
EYRIE,vp,33,MARQUISE,12,30,none
MARQUISE,dominance,18,MARQUISE,11,3,fox
EYRIE,dominance,83,EYRIE,10,0,mouse
MARQUISE,dominance,14,MARQUISE,10,6,fox
MARQUISE,dominance,34,MARQUISE,11,0,bird
MARQUISE,dominance,34,MARQUISE,10,9,mouse
MARQUISE,dominance,14,MARQUISE,10,1,rabbit
MARQUISE,dominance,26,MARQUISE,14,5,fox
MARQUISE,dominance,18,MARQUISE,11,3,mouse
EYRIE,dominance,29,EYRIE,11,3,rabbit
EYRIE,dominance,55,EYRIE,17,0,mouse
EYRIE,dominance,37,EYRIE,12,5,bird
EYRIE,dominance,13,EYRIE,10,7,bird
MARQUISE,dominance,20,MARQUISE,12,9,bird
MARQUISE,dominance,64,MARQUISE,11,0,fox
EYRIE,dominance,35,EYRIE,11,0,bird
MARQUISE,dominance,14,MARQUISE,13,1,mouse
MARQUISE,dominance,20,MARQUISE,10,0,bird
MARQUISE,dominance,148,MARQUISE,11,0,rabbit
MARQUISE,dominance,50,MARQUISE,10,0,mouse
MARQUISE,dominance,82,MARQUISE,14,3,rabbit
MARQUISE,dominance,14,MARQUISE,10,5,mouse
MARQUISE,dominance,22,MARQUISE,11,1,bird
MARQUISE,dominance,24,MARQUISE,12,12,fox
MARQUISE,dominance,46,MARQUISE,11,6,fox
MARQUISE,dominance,12,MARQUISE,11,5,mouse
MARQUISE,dominance,26,MARQUISE,29,1,fox
MARQUISE,dominance,26,MARQUISE,15,13,fox
MARQUISE,dominance,14,MARQUISE,10,8,bird
MARQUISE,dominance,46,MARQUISE,10,9,fox
EYRIE,dominance,29,EYRIE,21,0,rabbit
MARQUISE,dominance,16,MARQUISE,11,5,bird
MARQUISE,dominance,40,MARQUISE,13,4,mouse
MARQUISE,dominance,68,MARQUISE,11,0,mouse
MARQUISE,dominance,150,MARQUISE,15,0,bird
MARQUISE,dominance,28,MARQUISE,17,5,fox
MARQUISE,dominance,192,MARQUISE,15,0,bird
MARQUISE,dominance,86,MARQUISE,10,0,bird
EYRIE,dominance,37,EYRIE,23,9,rabbit
MARQUISE,dominance,10,MARQUISE,10,1,mouse
MARQUISE,dominance,34,MARQUISE,12,5,mouse
MARQUISE,dominance,28,MARQUISE,10,9,mouse
MARQUISE,dominance,46,MARQUISE,10,19,mouse
MARQUISE,dominance,30,MARQUISE,11,2,fox
MARQUISE,dominance,34,MARQUISE,11,13,rabbit
MARQUISE,dominance,104,MARQUISE,11,0,bird
MARQUISE,dominance,50,MARQUISE,14,19,mouse
EYRIE,dominance,49,EYRIE,14,16,rabbit
EYRIE,dominance,21,EYRIE,11,16,mouse
EYRIE,dominance,33,EYRIE,10,10,bird
MARQUISE,dominance,14,MARQUISE,11,1,rabbit
MARQUISE,dominance,20,MARQUISE,16,4,fox
MARQUISE,dominance,38,MARQUISE,11,13,fox
EYRIE,dominance,19,EYRIE,12,20,rabbit
MARQUISE,dominance,150,MARQUISE,16,0,rabbit
MARQUISE,dominance,22,MARQUISE,10,18,bird
MARQUISE,dominance,26,MARQUISE,13,6,fox
EYRIE,dominance,73,EYRIE,10,0,fox
MARQUISE,dominance,59,EYRIE,13,0,mouse
MARQUISE,dominance,30,MARQUISE,15,7,mouse
EYRIE,dominance,81,EYRIE,10,0,bird
EYRIE,dominance,53,EYRIE,22,12,rabbit
EYRIE,dominance,37,EYRIE,12,7,mouse
MARQUISE,dominance,40,MARQUISE,13,1,mouse
EYRIE,dominance,33,EYRIE,16,2,fox
EYRIE,vp,29,MARQUISE,14,30,none
MARQUISE,dominance,102,MARQUISE,10,0,fox
EYRIE,vp,30,MARQUISE,23,31,none
MARQUISE,dominance,52,MARQUISE,11,0,bird
MARQUISE,dominance,16,MARQUISE,11,4,rabbit
MARQUISE,dominance,36,MARQUISE,12,1,mouse
MARQUISE,dominance,52,MARQUISE,10,0,bird
MARQUISE,dominance,26,MARQUISE,24,18,mouse
EYRIE,dominance,33,EYRIE,12,12,rabbit
MARQUISE,dominance,26,MARQUISE,17,7,bird
MARQUISE,dominance,46,MARQUISE,16,7,rabbit
EYRIE,dominance,45,EYRIE,11,18,bird
EYRIE,dominance,27,EYRIE,9,21,rabbit
EYRIE,dominance,71,EYRIE,16,0,rabbit
MARQUISE,dominance,34,MARQUISE,19,6,mouse
EYRIE,dominance,35,EYRIE,21,0,fox
MARQUISE,vp,32,MARQUISE,30,14,none
MARQUISE,dominance,42,MARQUISE,10,0,fox
MARQUISE,dominance,28,MARQUISE,11,3,fox
MARQUISE,dominance,30,MARQUISE,11,8,mouse
MARQUISE,dominance,44,MARQUISE,10,18,mouse
MARQUISE,dominance,22,MARQUISE,12,5,fox
MARQUISE,dominance,24,MARQUISE,11,2,mouse
MARQUISE,dominance,66,MARQUISE,20,5,bird
MARQUISE,dominance,24,MARQUISE,12,3,mouse
MARQUISE,dominance,10,MARQUISE,10,5,mouse
MARQUISE,dominance,18,MARQUISE,11,1,fox
EYRIE,dominance,49,EYRIE,12,4,bird
MARQUISE,dominance,18,MARQUISE,19,3,mouse
MARQUISE,dominance,20,MARQUISE,12,7,rabbit
MARQUISE,dominance,74,MARQUISE,10,0,rabbit
MARQUISE,dominance,104,MARQUISE,12,0,bird
MARQUISE,dominance,28,MARQUISE,11,0,fox
MARQUISE,dominance,12,MARQUISE,11,6,mouse
MARQUISE,dominance,30,MARQUISE,10,5,mouse
MARQUISE,dominance,50,MARQUISE,24,0,fox
EYRIE,dominance,79,EYRIE,15,0,bird
MARQUISE,dominance,68,MARQUISE,10,0,fox
MARQUISE,dominance,16,MARQUISE,14,1,bird
MARQUISE,dominance,18,MARQUISE,15,4,mouse
MARQUISE,dominance,32,MARQUISE,13,7,mouse
MARQUISE,dominance,56,MARQUISE,26,2,fox
MARQUISE,dominance,12,MARQUISE,10,0,rabbit
EYRIE,vp,45,EYRIE,11,31,none
MARQUISE,dominance,72,MARQUISE,17,0,fox
EYRIE,dominance,77,EYRIE,12,0,mouse
MARQUISE,dominance,54,MARQUISE,20,0,bird
MARQUISE,dominance,44,MARQUISE,14,22,mouse
EYRIE,dominance,57,EYRIE,10,10,bird
MARQUISE,dominance,82,MARQUISE,10,0,fox
MARQUISE,dominance,46,MARQUISE,11,0,fox
EYRIE,dominance,37,EYRIE,13,8,bird
MARQUISE,dominance,22,MARQUISE,17,2,fox
MARQUISE,dominance,146,MARQUISE,13,0,bird
EYRIE,vp,25,MARQUISE,10,30,none
EYRIE,dominance,23,EYRIE,14,10,bird
EYRIE,dominance,37,EYRIE,12,3,rabbit
MARQUISE,dominance,28,MARQUISE,11,0,fox
MARQUISE,vp,28,MARQUISE,31,1,none
EYRIE,dominance,23,EYRIE,11,5,bird
MARQUISE,dominance,96,MARQUISE,10,0,mouse
EYRIE,dominance,19,EYRIE,8,12,mouse
MARQUISE,dominance,14,MARQUISE,10,5,rabbit
MARQUISE,dominance,32,MARQUISE,19,0,rabbit
MARQUISE,dominance,74,MARQUISE,14,0,rabbit
MARQUISE,dominance,18,MARQUISE,12,0,fox
EYRIE,dominance,25,EYRIE,26,9,bird
EYRIE,dominance,39,EYRIE,18,0,rabbit
MARQUISE,dominance,104,MARQUISE,27,0,rabbit
MARQUISE,dominance,18,MARQUISE,13,2,bird
EYRIE,dominance,41,EYRIE,15,1,bird
MARQUISE,dominance,58,MARQUISE,16,1,mouse
MARQUISE,dominance,22,MARQUISE,14,3,fox
MARQUISE,dominance,20,MARQUISE,11,1,fox
MARQUISE,dominance,160,MARQUISE,20,0,fox
EYRIE,dominance,49,EYRIE,10,0,rabbit
MARQUISE,dominance,24,MARQUISE,11,5,mouse
MARQUISE,dominance,10,MARQUISE,10,4,mouse
EYRIE,dominance,95,EYRIE,14,0,bird
MARQUISE,dominance,22,MARQUISE,14,12,fox
EYRIE,dominance,19,EYRIE,11,12,bird
MARQUISE,dominance,20,MARQUISE,12,1,bird
EYRIE,dominance,85,EYRIE,12,0,rabbit
MARQUISE,dominance,30,MARQUISE,13,12,bird
MARQUISE,dominance,16,MARQUISE,11,1,rabbit
MARQUISE,dominance,16,MARQUISE,10,5,mouse
MARQUISE,dominance,20,MARQUISE,11,21,fox
MARQUISE,dominance,64,MARQUISE,10,8,mouse
MARQUISE,dominance,66,MARQUISE,20,0,fox
MARQUISE,dominance,20,MARQUISE,12,10,mouse
EYRIE,vp,39,EYRIE,17,30,none
MARQUISE,dominance,44,MARQUISE,27,0,mouse
MARQUISE,dominance,80,MARQUISE,12,0,fox
MARQUISE,dominance,28,MARQUISE,12,5,mouse
MARQUISE,dominance,28,MARQUISE,14,7,fox
MARQUISE,dominance,26,MARQUISE,11,0,fox
MARQUISE,dominance,26,MARQUISE,10,6,fox
EYRIE,dominance,35,EYRIE,12,6,bird
MARQUISE,dominance,20,MARQUISE,13,1,fox
MARQUISE,dominance,12,MARQUISE,12,0,bird
EYRIE,dominance,113,EYRIE,21,0,mouse
MARQUISE,dominance,38,MARQUISE,28,1,fox
EYRIE,dominance,37,EYRIE,11,0,bird
MARQUISE,dominance,74,MARQUISE,13,0,mouse
MARQUISE,dominance,20,MARQUISE,10,2,mouse
MARQUISE,dominance,20,MARQUISE,18,6,rabbit
MARQUISE,dominance,12,MARQUISE,10,0,mouse
MARQUISE,dominance,32,MARQUISE,10,3,fox
MARQUISE,dominance,30,MARQUISE,12,10,fox
MARQUISE,dominance,18,MARQUISE,10,7,bird
MARQUISE,dominance,46,MARQUISE,11,0,mouse
MARQUISE,dominance,20,MARQUISE,10,8,fox
EYRIE,dominance,35,EYRIE,21,0,rabbit
MARQUISE,dominance,20,MARQUISE,12,2,mouse
MARQUISE,dominance,60,MARQUISE,11,0,fox
MARQUISE,dominance,20,MARQUISE,14,14,mouse
MARQUISE,dominance,142,MARQUISE,16,0,bird
EYRIE,dominance,43,EYRIE,13,8,rabbit
MARQUISE,dominance,58,MARQUISE,12,0,bird
EYRIE,dominance,29,EYRIE,12,19,mouse
MARQUISE,dominance,20,MARQUISE,15,2,mouse
MARQUISE,dominance,36,MARQUISE,11,9,fox
EYRIE,dominance,29,EYRIE,15,10,bird
EYRIE,dominance,61,EYRIE,12,0,fox
MARQUISE,dominance,68,MARQUISE,13,10,bird
MARQUISE,dominance,26,MARQUISE,13,7,mouse
MARQUISE,dominance,20,MARQUISE,15,1,rabbit
MARQUISE,dominance,36,MARQUISE,12,1,bird
EYRIE,dominance,57,EYRIE,15,0,rabbit
MARQUISE,dominance,214,MARQUISE,12,0,rabbit
MARQUISE,dominance,16,MARQUISE,15,0,bird
MARQUISE,dominance,18,MARQUISE,16,10,bird
MARQUISE,dominance,44,MARQUISE,11,5,mouse
EYRIE,dominance,49,EYRIE,10,1,mouse
MARQUISE,dominance,90,MARQUISE,11,0,bird
MARQUISE,dominance,22,MARQUISE,10,21,bird
MARQUISE,dominance,106,MARQUISE,11,0,rabbit
EYRIE,dominance,33,EYRIE,11,18,bird
MARQUISE,dominance,70,MARQUISE,21,0,bird
MARQUISE,dominance,48,MARQUISE,12,11,mouse
MARQUISE,dominance,20,MARQUISE,11,7,fox
MARQUISE,dominance,22,MARQUISE,16,2,fox
MARQUISE,vp,18,MARQUISE,31,8,none
MARQUISE,dominance,14,MARQUISE,22,8,mouse
MARQUISE,dominance,30,MARQUISE,11,5,fox
MARQUISE,dominance,26,MARQUISE,15,1,fox
MARQUISE,dominance,24,MARQUISE,10,5,mouse
MARQUISE,dominance,136,MARQUISE,10,0,fox
MARQUISE,dominance,30,MARQUISE,15,4,mouse
EYRIE,dominance,65,EYRIE,10,0,rabbit
EYRIE,dominance,51,EYRIE,10,10,rabbit
MARQUISE,dominance,14,MARQUISE,10,1,bird
MARQUISE,dominance,24,MARQUISE,25,8,mouse
MARQUISE,dominance,40,MARQUISE,17,7,mouse
MARQUISE,dominance,28,MARQUISE,13,1,mouse
MARQUISE,dominance,70,MARQUISE,15,0,rabbit
MARQUISE,dominance,244,MARQUISE,12,0,rabbit
MARQUISE,dominance,22,MARQUISE,14,0,rabbit
MARQUISE,dominance,18,MARQUISE,12,5,mouse
EYRIE,vp,45,MARQUISE,29,32,none
MARQUISE,dominance,30,MARQUISE,10,16,fox
MARQUISE,dominance,26,MARQUISE,11,4,fox
MARQUISE,dominance,106,MARQUISE,10,0,mouse
EYRIE,dominance,17,EYRIE,12,10,rabbit
MARQUISE,dominance,18,MARQUISE,13,5,mouse
MARQUISE,dominance,20,MARQUISE,11,7,fox
EYRIE,dominance,175,EYRIE,10,0,rabbit
MARQUISE,dominance,66,MARQUISE,13,0,mouse
MARQUISE,dominance,20,MARQUISE,18,1,bird
EYRIE,dominance,107,EYRIE,13,0,mouse
EYRIE,dominance,91,EYRIE,12,0,mouse
MARQUISE,dominance,10,MARQUISE,10,1,mouse
MARQUISE,dominance,16,MARQUISE,16,9,rabbit
EYRIE,dominance,47,EYRIE,13,10,rabbit
MARQUISE,dominance,12,MARQUISE,11,1,fox
EYRIE,dominance,95,EYRIE,10,0,bird
MARQUISE,dominance,18,MARQUISE,12,3,fox
MARQUISE,dominance,18,MARQUISE,10,6,fox
MARQUISE,dominance,22,MARQUISE,13,12,fox
EYRIE,dominance,33,EYRIE,11,0,mouse
EYRIE,dominance,163,EYRIE,12,0,mouse
EYRIE,dominance,27,EYRIE,20,19,bird
MARQUISE,dominance,22,MARQUISE,12,3,fox
MARQUISE,dominance,18,MARQUISE,13,0,mouse
EYRIE,dominance,127,EYRIE,11,0,mouse
MARQUISE,dominance,26,MARQUISE,11,10,rabbit
MARQUISE,dominance,46,MARQUISE,22,0,fox
MARQUISE,dominance,10,MARQUISE,11,1,fox
MARQUISE,dominance,20,MARQUISE,10,2,mouse
EYRIE,vp,45,MARQUISE,29,30,none
MARQUISE,dominance,20,MARQUISE,12,3,fox
EYRIE,dominance,43,EYRIE,13,20,bird
EYRIE,dominance,51,EYRIE,10,0,mouse
MARQUISE,dominance,30,MARQUISE,12,4,fox
MARQUISE,dominance,62,MARQUISE,12,0,fox
MARQUISE,dominance,102,MARQUISE,10,0,bird
MARQUISE,dominance,62,MARQUISE,10,0,fox
MARQUISE,dominance,28,MARQUISE,12,1,fox
MARQUISE,dominance,44,MARQUISE,10,5,fox
MARQUISE,dominance,22,MARQUISE,12,6,mouse
MARQUISE,dominance,86,MARQUISE,13,0,bird
EYRIE,dominance,29,EYRIE,11,15,bird
EYRIE,dominance,247,EYRIE,23,0,rabbit
MARQUISE,dominance,22,MARQUISE,18,10,bird
MARQUISE,dominance,60,MARQUISE,13,0,rabbit
MARQUISE,dominance,18,MARQUISE,11,3,fox
EYRIE,vp,51,MARQUISE,24,31,none
EYRIE,dominance,19,EYRIE,8,9,fox
MARQUISE,vp,16,MARQUISE,30,1,none
EYRIE,vp,25,MARQUISE,19,31,none
MARQUISE,dominance,14,MARQUISE,12,2,fox
MARQUISE,dominance,16,MARQUISE,10,8,fox
MARQUISE,dominance,18,MARQUISE,11,15,fox
EYRIE,dominance,45,EYRIE,13,10,rabbit
MARQUISE,dominance,48,MARQUISE,10,20,fox
EYRIE,dominance,43,EYRIE,18,18,bird
MARQUISE,dominance,20,MARQUISE,14,1,fox
MARQUISE,dominance,24,MARQUISE,22,2,mouse
MARQUISE,dominance,78,MARQUISE,23,0,bird
MARQUISE,dominance,16,MARQUISE,12,0,mouse
MARQUISE,dominance,48,MARQUISE,11,22,mouse
MARQUISE,dominance,24,MARQUISE,15,2,bird
MARQUISE,dominance,76,MARQUISE,25,0,mouse
EYRIE,dominance,21,EYRIE,10,24,bird
EYRIE,dominance,45,EYRIE,15,0,rabbit
EYRIE,dominance,29,EYRIE,26,12,fox
MARQUISE,dominance,18,MARQUISE,12,2,fox
EYRIE,dominance,61,EYRIE,12,0,rabbit
MARQUISE,dominance,30,MARQUISE,22,7,mouse
MARQUISE,dominance,76,MARQUISE,20,0,rabbit
MARQUISE,dominance,52,MARQUISE,18,1,rabbit
MARQUISE,dominance,24,MARQUISE,20,0,fox
MARQUISE,dominance,70,MARQUISE,14,0,bird
EYRIE,vp,31,MARQUISE,24,33,none
EYRIE,dominance,27,EYRIE,12,26,rabbit
MARQUISE,dominance,68,MARQUISE,15,0,bird
EYRIE,dominance,31,EYRIE,11,12,bird
MARQUISE,dominance,48,MARQUISE,13,0,fox
MARQUISE,dominance,72,MARQUISE,13,0,rabbit
EYRIE,dominance,35,EYRIE,12,12,rabbit
MARQUISE,dominance,24,MARQUISE,15,5,mouse
MARQUISE,dominance,44,MARQUISE,18,0,mouse
MARQUISE,dominance,18,MARQUISE,11,3,fox
MARQUISE,dominance,50,MARQUISE,17,4,rabbit
MARQUISE,dominance,16,MARQUISE,18,10,mouse
MARQUISE,dominance,20,MARQUISE,11,6,mouse
MARQUISE,dominance,22,MARQUISE,14,6,fox
MARQUISE,dominance,18,MARQUISE,11,6,rabbit
MARQUISE,dominance,18,MARQUISE,12,1,mouse
EYRIE,vp,53,MARQUISE,29,30,none
MARQUISE,dominance,62,MARQUISE,11,0,fox
MARQUISE,dominance,32,MARQUISE,10,10,fox
MARQUISE,dominance,32,MARQUISE,23,9,bird
EYRIE,dominance,35,EYRIE,16,6,mouse
EYRIE,dominance,29,EYRIE,9,22,bird
MARQUISE,dominance,180,MARQUISE,17,0,rabbit
EYRIE,dominance,27,EYRIE,14,5,bird
MARQUISE,dominance,22,MARQUISE,10,4,fox
EYRIE,dominance,51,EYRIE,11,0,mouse
MARQUISE,dominance,14,MARQUISE,11,2,mouse
MARQUISE,dominance,58,MARQUISE,22,0,bird
MARQUISE,dominance,26,MARQUISE,10,4,fox
MARQUISE,dominance,40,MARQUISE,19,2,rabbit
MARQUISE,dominance,48,MARQUISE,13,1,rabbit
MARQUISE,dominance,24,MARQUISE,16,1,fox
EYRIE,dominance,31,EYRIE,12,8,bird
EYRIE,vp,39,MARQUISE,19,32,none
MARQUISE,dominance,44,MARQUISE,11,12,fox
MARQUISE,dominance,18,MARQUISE,11,0,fox
MARQUISE,dominance,22,MARQUISE,29,9,bird
MARQUISE,dominance,102,MARQUISE,10,0,fox
EYRIE,dominance,53,EYRIE,10,0,fox
